sampleid	population	sex	timepoint	bird	flock
#q2:types	categorical	categorical	categorical	categorical	categorical
47_S354_L001	resident	female	F	BIRD26	residentfemale
59_S304_L001	resident	male	F	BIRD19	residentmale
81_S376_L001	resident	female	F	BIRD22	residentfemale
89_S331_L001	migratory	male	F	BIRD09	migratorymale
109_S323_L001	resident	male	F	BIRD16	residentmale
116_S378_L001	migratory	male	F	BIRD07	migratorymale
136_S299_L001	resident	male	F	BIRD15	residentmale
137_S352_L001	resident	female	F	BIRD21	residentfemale
155_S341_L001	migratory	female	F	BIRD06	migratoryfemale
162_S315_L001	migratory	female	F	BIRD01	migratoryfemale
183_S293_L001	migratory	female	F	BIRD04	migratoryfemale
188_S347_L001	resident	male	F	BIRD17	residentmale
209_S308_L001	migratory	male	F	BIRD12	migratorymale
229_S328_L001	resident	male	F	BIRD20	residentmale
230_S317_L001	migratory	female	F	BIRD05	migratoryfemale
233_S379_L001	migratory	male	F	BIRD11	migratorymale
256_S377_L001	resident	female	F	BIRD23	residentfemale
277_S363_L001	migratory	female	F	BIRD03	migratoryfemale
299_S330_L001	resident	female	F	BIRD25	residentfemale
301_S383_L001	resident	male	F	BIRD18	residentmale
308_S339_L001	migratory	female	F	BIRD02	migratoryfemale
320_S307_L001	migratory	male	F	BIRD08	migratorymale
351_S306_L001	resident	female	F	BIRD24	residentfemale
370_S355_L001	migratory	male	F	BIRD10	migratorymale
